time_sec,Instrument_0_Bass,Instrument_1_Grand Piano,Instrument_2_909 Drum Kit,Instrument_3_Smooth Synth (Classic),Instrument_4_Electric Drum Kit,Instrument_5_Violin,Instrument_6_8-Bit Sawtooth,Instrument_7_Strings,Instrument_8_Violin (Classic),Instrument_9_Trombone (Classic)
52.078628249999994,,,,,,48 60 72 84,36 48,,,
52.247167499999996,51,63 75,,,,48 60 72 84,36 48,,63 75,51
52.41570674999999,65,63 75,,,,48 60 72 84,36 48,,63 75,51
52.58424599999999,,75 87,,,,48 60 72 84,36 48,,75 87,63
52.9213245,,75 87,,,,48 60 72 84,36 48,,75 87,63
53.258402999999994,,75 87,,,,48 60 72 84,36 48,,75 87,63
53.59548149999999,,74 86,,,,48 60 72 84,36 48,,74 86,62
53.932559999999995,,72 84,,36 36,,48 60 72 84,36 48,,72 84,60
54.10109925,,72 84,,36 36,,48 60 72 84,36 48,,72 84,60
54.26963849999999,,,,36 36,,48 60 72 84,36 48,,,
54.438177749999994,,,,36 36,,48 60 72 84,36 48,,,
54.606716999999996,,,,36 36,,48 60 72 84,36 48,,,
54.77525624999999,,,,36 36,,48 60 72 84,36 48,,,
54.94379549999999,,,,36 36,,48 60 72 84,36 48,,,
55.112334749999995,,,,36 36,,48 60 72 84,36 48,,,
55.280874,,75 87,,36 36,,48 60 72 84,36 48,,75 87,63
55.44941324999999,,75 87,,36 36,,48 60 72 84,36 48,,75 87,63
55.617952499999994,,75 87,,36 36,,48 60 72 84,36 48,,75 87,63
55.786491749999996,,75 87,,36 36,,48 60 72 84,36 48,,75 87,63
55.95503099999999,,75 87,,36 36,,48 60 72 84,36 48,,75 87,63
56.12357024999999,,75 87,,36 36,,48 60 72 84,36 48,,75 87,63
56.292109499999995,,74 86,,36 36,,48 60 72 84,36 48,,74 86,62
56.46064874999999,,74 86,,36 36,,48 60 72 84,36 48,,74 86,62
56.62918799999999,,68 80,,32 32,,44 56 68 80,32 44,,68 80,56
56.797727249999994,,68 80,,32 32,,44 56 68 80,32 44,,68 80,56
56.966266499999996,,,,32 32,,44 56 68 80,32 44,,,
57.13480574999999,,,,32 32,,44 56 68 80,32 44,,,
57.30334499999999,,,,32 32,,44 56 68 80,32 44,,,
57.471884249999995,,,,32 32,,44 56 68 80,32 44,,,
57.64042349999999,,,,32 32,,44 56 68 80,32 44,,,
57.80896274999999,,,,32 32,,44 56 68 80,32 44,,,
57.977501999999994,,75 87,,32 32,,44 56 68 80,32 44,,75 87,63
58.146041249999996,,75 87,,32 32,,44 56 68 80,32 44,,75 87,63
58.31458049999999,,75 87,,32 32,,44 56 68 80,32 44,,75 87,63
58.48311974999999,,75 87,,32 32,,44 56 68 80,32 44,,75 87,63
58.651658999999995,,75 87,,32 32,,44 56 68 80,32 44,,75 87,63
58.82019824999999,,75 87,,32 32,,44 56 68 80,32 44,,75 87,63
58.98873749999999,,74 86,,32 32,,44 56 68 80,32 44,,74 86,62
59.157276749999994,,74 86,,32 32,,44 56 68 80,32 44,,74 86,62
59.325815999999996,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
59.49435524999999,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
59.66289449999999,,,,39 39,,51 63 75 87,39 51,,,
59.831433749999995,,,,39 39,,51 63 75 87,39 51,,,
59.99997299999999,,,,39 39,,51 63 75 87,39 51,,,
60.16851224999999,,,,39 39,,51 63 75 87,39 51,,,
60.337051499999994,,,,39 39,,51 63 75 87,39 51,,,
60.505590749999996,,,,39 39,,51 63 75 87,39 51,,,
60.67412999999999,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
60.84266924999999,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
61.011208499999995,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
61.17974774999999,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
61.34828699999999,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
61.516826249999994,,75 87,,39 39,,51 63 75 87,39 51,,75 87,63
61.685365499999996,,77 89,,39 39,,51 63 75 87,39 51,,77 89,65
61.85390474999999,,77 89,,39 39,,51 63 75 87,39 51,,77 89,65
62.02244399999999,,77 89,,38 38,,50 62 74 86,38 50,,77 89,65
62.190983249999995,,77 89,,38 38,,50 62 74 86,38 50,,77 89,65
62.35952249999999,,,,38 38,,50 62 74 86,38 50,,,
62.52806174999999,,,,38 38,,50 62 74 86,38 50,,,
62.696600999999994,,,,38 38,,50 62 74 86,38 50,,,
62.865140249999996,,,,38 38,,50 62 74 86,38 50,,,
63.03367949999999,,70 82,,38 38,,50 62 74 86,38 50,,70 82,58
63.20221874999999,,70 82,,38 38,,50 62 74 86,38 50,,70 82,58
63.370757999999995,,75 87,,38 38,,50 62 74 86,38 50,,75 87,63
63.53929724999999,,75 87,,38 38,,50 62 74 86,38 50,,75 87,63
63.70783649999999,,75 87,,38 38,,50 62 74 86,38 50,,75 87,63
63.876375749999994,,75 87,,38 38,,50 62 74 86,38 50,,75 87,63
64.04491499999999,,75 87,,38 38,,50 62 74 86,38 50,,75 87,63
64.21345425,,75 87,,38 38,,50 62 74 86,38 50,,75 87,63
64.3819935,,74 86,,38 38,,50 62 74 86,38 50,,74 86,62
64.55053274999999,,74 86,,38 38,,50 62 74 86,38 50,,74 86,62
